,q103_survey_type,q213_no_members,q216_house_pucca_kachha,q217_house_type,q218_house_no_stories,q223_house_no_bedrooms,q224_house_no_toilets,q225_house_no_otherrooms,land_area_sqfeet,q228_plot_use_house_in_percent,q301_grid_yn,q313_grid_billfreq,q610_elec_bill_physical_yn,q610_a_no_billing_days,q610_b_billed_units,q405_a_incadescent_bulb_no,q405_b_cfl_bulb_no,q405_c_led_bulb_no,q405_d_led_tube_light_no,q405_e_cfl_tube_light_no,q409_ceiling_fan_yn,q410_ceiling_fan_no,q415_table_fan_yn,q416_table_fan_no,q421_air_coolers_yn,q422_air_coolers_no,q427_ac_yn,q428_ac_no,q459_tv_yn,q460_tv_no,q466_fridge_yn,q467_fridge_no,q471_mixer_grinder_2_yn,q472_wash_mach_yn,q476_iron_yn,q477_water_pump_yn,q480_water_pump_cap_hp
12634,1,8,2,1.0,1.0,2,1,3,1100.0,80.0,1,1.0,1.0,25.0,75.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12637,2,4,3,1.0,2.0,2,1,4,3000.0,,1,1.0,1.0,30.0,90.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12651,2,4,3,1.0,2.0,2,2,2,500.0,,1,1.0,0.0,,,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
12666,2,10,3,1.0,1.0,2,3,1,2500.0,100.0,1,1.0,1.0,30.0,533.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,1.0,1.0,0.0,,0.0,,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
12667,2,4,3,1.0,1.0,1,1,3,,,1,1.0,1.0,,49.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
12670,2,5,3,2.0,4.0,1,1,1,200.0,100.0,1,1.0,0.0,,,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
12682,2,10,3,1.0,1.0,2,1,4,250.0,80.0,1,1.0,1.0,30.0,98.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,,1.0,2.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
12683,2,6,3,1.0,2.0,2,1,2,550.0,60.0,1,1.0,1.0,30.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12687,2,5,3,1.0,2.0,5,2,5,1500.0,90.0,1,1.0,0.0,,,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
12691,2,3,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,0.0,,,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
12692,2,5,3,1.0,1.0,1,1,1,350.0,80.0,1,1.0,1.0,30.0,17.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12705,2,3,3,1.0,2.0,3,2,3,350.0,90.0,1,1.0,1.0,30.0,61.0,0.0,1.0,4.0,1.0,2.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12706,1,4,3,1.0,1.0,2,2,2,,,1,1.0,1.0,30.0,123.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,,1.0,2.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,
12707,1,5,2,1.0,1.0,2,1,2,550.0,90.0,1,1.0,1.0,20.0,65.0,3.0,3.0,2.0,1.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12718,2,5,3,2.0,18.0,1,2,2,305.0,100.0,1,1.0,1.0,30.0,149.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12723,2,5,3,2.0,4.0,1,2,2,2000.0,100.0,1,1.0,0.0,,,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,
12724,1,4,3,1.0,1.0,2,1,2,550.0,80.0,1,1.0,1.0,30.0,36.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
12730,1,5,2,1.0,1.0,1,1,2,250.0,70.0,1,1.0,1.0,25.0,110.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12731,1,5,3,1.0,1.0,1,1,2,500.0,70.0,1,1.0,1.0,25.0,183.0,3.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12732,2,3,3,1.0,1.0,1,1,1,450.0,100.0,1,1.0,1.0,30.0,87.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12737,1,3,3,1.0,1.0,1,1,2,600.0,55.0,1,1.0,0.0,,,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
12767,2,6,3,1.0,1.0,3,1,3,750.0,90.0,1,1.0,1.0,30.0,72.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,,1.0,2.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,
12777,2,4,3,1.0,1.0,1,1,2,,,1,1.0,1.0,,82.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
12785,2,5,2,1.0,2.0,1,1,2,600.0,80.0,1,1.0,1.0,30.0,13.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
12793,2,10,3,1.0,1.0,2,2,3,,,1,1.0,1.0,30.0,236.0,0.0,1.0,3.0,4.0,0.0,1.0,4.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,
12794,1,4,2,1.0,1.0,1,2,3,750.0,70.0,1,1.0,1.0,30.0,29.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
12795,1,6,2,1.0,1.0,2,1,2,700.0,65.0,1,1.0,0.0,,,1.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12806,2,5,3,1.0,1.0,2,2,4,1750.0,80.0,1,1.0,1.0,30.0,60.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
12809,2,5,3,1.0,1.0,1,2,3,500.0,100.0,1,1.0,1.0,30.0,151.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12812,2,4,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,0.0,,,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12826,2,4,2,1.0,1.0,1,1,1,350.0,70.0,1,1.0,1.0,30.0,132.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
12830,2,5,3,1.0,1.0,1,1,2,750.0,80.0,1,1.0,1.0,30.0,119.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,
12834,2,2,3,1.0,1.0,3,1,2,400.0,,1,1.0,1.0,,48.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,,0.0,,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,
12849,2,7,2,2.0,4.0,1,1,2,450.0,70.0,1,1.0,1.0,30.0,158.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
12852,1,5,3,1.0,1.0,2,2,3,1100.0,75.0,1,1.0,1.0,22.0,142.0,4.0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
12855,1,4,3,1.0,2.0,2,1,3,670.0,85.0,1,1.0,1.0,20.0,46.0,1.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
12862,2,5,3,1.0,1.0,1,2,4,3000.0,100.0,1,1.0,1.0,30.0,160.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,
12863,2,5,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,0.0,,,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12876,1,6,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12879,1,6,3,1.0,1.0,1,1,4,500.0,70.0,1,1.0,1.0,25.0,65.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
12921,1,4,3,1.0,1.0,1,1,3,280.0,80.0,1,1.0,0.0,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
12946,2,3,3,2.0,4.0,1,1,2,650.0,80.0,1,1.0,1.0,30.0,45.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
12951,1,5,3,1.0,1.0,2,1,2,570.0,80.0,1,1.0,1.0,25.0,56.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
12961,1,8,3,1.0,2.0,2,2,3,600.0,70.0,1,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12962,2,9,3,1.0,1.0,3,2,2,,,1,1.0,0.0,,,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12966,1,8,3,1.0,1.0,2,2,4,1500.0,70.0,1,1.0,1.0,25.0,85.0,4.0,4.0,1.0,1.0,0.0,1.0,3.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
12968,1,5,2,1.0,1.0,2,1,2,700.0,70.0,1,1.0,0.0,,,1.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
12977,1,5,2,1.0,1.0,2,1,3,600.0,60.0,1,1.0,1.0,25.0,113.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
12978,2,4,3,2.0,6.0,1,2,1,300.0,100.0,1,1.0,0.0,,,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
12988,1,5,3,1.0,1.0,1,1,4,800.0,70.0,1,1.0,0.0,,,3.0,1.0,4.0,0.0,1.0,1.0,3.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
12997,2,4,3,1.0,2.0,2,2,5,300.0,70.0,1,1.0,1.0,,99.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13001,2,3,3,1.0,1.0,1,1,3,,,1,1.0,0.0,,,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,
13021,2,6,3,1.0,1.0,1,2,2,1400.0,75.0,1,1.0,1.0,30.0,73.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13029,1,6,3,1.0,1.0,4,1,4,600.0,90.0,1,1.0,1.0,30.0,71.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13031,2,8,3,2.0,1.0,1,2,2,1200.0,100.0,1,1.0,1.0,30.0,177.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,
13050,2,7,2,1.0,1.0,2,1,2,600.0,85.0,1,1.0,1.0,25.0,115.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
13074,1,5,3,1.0,1.0,2,1,3,900.0,80.0,1,1.0,1.0,25.0,85.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13086,1,5,3,1.0,1.0,1,1,2,250.0,70.0,1,1.0,0.0,,,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13092,2,4,3,1.0,2.0,2,1,1,,,1,1.0,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
13093,2,4,3,1.0,1.0,1,1,1,900.0,100.0,1,1.0,1.0,30.0,170.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13096,1,4,3,1.0,1.0,3,1,1,,,1,1.0,1.0,31.0,55.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
13099,1,12,3,1.0,2.0,2,2,4,670.0,90.0,1,1.0,1.0,20.0,171.0,4.0,5.0,0.0,2.0,0.0,1.0,4.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13101,2,4,3,2.0,4.0,1,1,1,200.0,100.0,1,1.0,0.0,,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13105,2,5,3,1.0,2.0,2,1,2,900.0,75.0,1,1.0,1.0,30.0,34.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,,1.0,2.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13126,2,4,3,1.0,1.0,1,1,2,300.0,100.0,1,1.0,1.0,20.0,,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13135,2,6,3,1.0,2.0,2,2,4,350.0,95.0,1,1.0,1.0,22.0,14.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13141,2,2,3,1.0,1.0,1,1,0,250.0,75.0,1,1.0,1.0,30.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13142,2,3,3,2.0,3.0,1,1,1,550.0,100.0,1,1.0,0.0,,,2.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13144,2,6,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,0.0,,,0.0,0.0,7.0,11.0,0.0,1.0,3.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13159,2,6,2,1.0,1.0,2,1,4,2000.0,80.0,1,1.0,1.0,30.0,56.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13163,1,7,2,1.0,1.0,2,1,3,900.0,65.0,1,1.0,1.0,25.0,107.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13176,1,8,3,1.0,1.0,2,1,2,1200.0,75.0,1,1.0,0.0,,,2.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13179,2,2,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,0.0,,,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13186,1,4,3,2.0,1.0,1,1,2,700.0,80.0,1,1.0,1.0,20.0,135.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13188,1,6,3,1.0,1.0,2,1,2,1200.0,70.0,1,1.0,0.0,,,2.0,3.0,2.0,1.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13190,1,8,3,1.0,2.0,2,2,3,1000.0,75.0,1,1.0,1.0,30.0,286.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,,1.0,2.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
13198,2,4,3,1.0,1.0,1,1,3,700.0,70.0,1,1.0,1.0,30.0,125.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
13202,2,5,3,1.0,1.0,1,1,1,200.0,100.0,1,1.0,0.0,,,1.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13213,2,4,3,1.0,1.0,1,1,2,350.0,50.0,1,1.0,0.0,,,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13218,2,5,3,1.0,1.0,3,1,2,4500.0,90.0,1,1.0,1.0,30.0,67.0,0.0,0.0,5.0,4.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,
13219,2,4,3,2.0,4.0,1,2,2,2000.0,100.0,1,1.0,0.0,,,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
13238,2,7,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,1.0,30.0,184.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13239,2,7,3,1.0,2.0,4,2,4,450.0,90.0,1,1.0,1.0,30.0,39.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13242,2,6,3,2.0,3.0,1,1,1,180.0,100.0,1,1.0,1.0,30.0,115.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13249,2,3,3,1.0,1.0,1,1,0,200.0,100.0,1,1.0,1.0,30.0,211.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5
13252,2,4,3,1.0,1.0,1,1,1,900.0,100.0,1,1.0,0.0,,,0.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13260,2,6,2,1.0,1.0,2,1,2,500.0,90.0,1,1.0,1.0,25.0,71.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13268,2,5,3,1.0,2.0,3,2,6,2000.0,90.0,1,1.0,0.0,,,0.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
13269,1,6,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,0.0,,,1.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
13270,2,9,3,1.0,1.0,2,1,4,450.0,80.0,1,1.0,1.0,30.0,174.0,0.0,0.0,5.0,1.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,
13272,2,3,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,0.0,,,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
13275,1,4,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13278,2,5,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,0.0,,,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
13280,1,6,2,1.0,1.0,2,1,3,700.0,80.0,1,1.0,1.0,20.0,213.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13283,2,10,3,1.0,1.0,4,2,3,4000.0,80.0,1,1.0,1.0,30.0,108.0,0.0,1.0,9.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13295,2,3,3,1.0,1.0,1,1,3,1000.0,85.0,1,1.0,1.0,30.0,87.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
13306,2,6,3,1.0,2.0,2,2,4,450.0,50.0,1,1.0,1.0,30.0,137.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13307,2,6,3,1.0,2.0,2,2,2,2000.0,,1,1.0,0.0,,,0.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
13308,2,9,3,1.0,1.0,2,2,2,400.0,100.0,1,1.0,1.0,60.0,267.0,0.0,4.0,3.0,0.0,0.0,1.0,3.0,0.0,,1.0,1.0,0.0,,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,
13313,2,5,3,1.0,1.0,1,1,1,250.0,60.0,1,1.0,1.0,30.0,159.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13330,1,3,3,1.0,1.0,1,1,1,350.0,70.0,1,1.0,1.0,30.0,207.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13331,2,6,3,2.0,3.0,1,1,1,210.0,100.0,1,1.0,0.0,,,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,
13346,2,14,3,2.0,10.0,1,2,1,1500.0,100.0,1,1.0,1.0,30.0,175.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13348,2,11,3,1.0,1.0,2,1,1,300.0,70.0,1,1.0,1.0,30.0,125.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13351,1,4,3,1.0,2.0,2,2,2,800.0,,1,1.0,0.0,,,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
13356,1,7,3,1.0,1.0,2,1,3,800.0,70.0,1,1.0,0.0,,,2.0,4.0,2.0,1.0,0.0,1.0,4.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13359,2,2,3,2.0,2.0,1,1,1,250.0,100.0,1,1.0,0.0,,,1.0,1.0,2.0,2.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
13364,2,5,3,2.0,1.0,1,1,1,750.0,100.0,1,1.0,1.0,30.0,216.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
13367,2,4,3,2.0,7.0,1,2,1,250.0,100.0,1,1.0,0.0,,,1.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
