,q103_survey_type,q213_no_members,q216_house_pucca_kachha,q217_house_type,q218_house_no_stories,q223_house_no_bedrooms,q224_house_no_toilets,q225_house_no_otherrooms,land_area_sqfeet,q228_plot_use_house_in_percent,q301_grid_yn,q313_grid_billfreq,q610_elec_bill_physical_yn,q610_a_no_billing_days,q610_b_billed_units,q405_a_incadescent_bulb_no,q405_b_cfl_bulb_no,q405_c_led_bulb_no,q405_d_led_tube_light_no,q405_e_cfl_tube_light_no,q409_ceiling_fan_yn,q410_ceiling_fan_no,q415_table_fan_yn,q416_table_fan_no,q421_air_coolers_yn,q422_air_coolers_no,q427_ac_yn,q428_ac_no,q459_tv_yn,q460_tv_no,q466_fridge_yn,q467_fridge_no,q471_mixer_grinder_2_yn,q472_wash_mach_yn,q476_iron_yn,q477_water_pump_yn,q480_water_pump_cap_hp
2313,1,4,2,1.0,1.0,2,1,2,300.0,30.0,1,1.0,0.0,,,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2323,1,5,2,1.0,1.0,1,1,4,3200.0,90.0,1,1.0,1.0,30.0,83.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2325,1,5,1,,,1,1,1,600.0,90.0,1,1.0,0.0,,,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2329,1,5,1,,,1,1,3,1000.0,50.0,1,1.0,1.0,30.0,18.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2348,1,2,2,1.0,1.0,1,1,1,500.0,70.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,1,5,2,1.0,1.0,1,1,1,500.0,80.0,1,1.0,1.0,30.0,35.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
2371,1,4,2,1.0,1.0,1,1,4,2000.0,100.0,1,1.0,1.0,30.0,14.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2380,1,4,1,,,1,1,2,980.0,75.0,1,1.0,1.0,25.0,,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2390,2,7,2,1.0,1.0,2,1,1,350.0,85.0,1,1.0,1.0,30.0,75.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2401,1,3,2,1.0,1.0,2,2,0,3000.0,40.0,1,1.0,1.0,30.0,9.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2411,1,10,2,1.0,1.0,2,2,2,350.0,80.0,1,1.0,1.0,30.0,258.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
2428,2,13,2,1.0,1.0,3,1,1,300.0,80.0,1,1.0,1.0,30.0,76.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
2443,1,4,2,1.0,1.0,1,1,1,500.0,85.0,1,1.0,1.0,30.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2492,1,5,3,1.0,1.0,1,1,3,650.0,80.0,1,1.0,1.0,20.0,46.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
2510,1,5,1,,,1,1,2,800.0,40.0,1,1.0,1.0,30.0,68.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
